"Município";"Código Município Ibge";"Exercício";"Receitas Resultantes de  Impostos Próprias";"Receitas Resultante de Impostos Transf. Estado";"Receitas Resultantes de Impostos Transf. União";"Receitas Resultantes  de Impostos Total"
"Adamantina";"3500105";"2014";"12.543.240,09";"20.485.100,92";"18.015.911,45";"51.044.252,46"
"Adamantina";"3500105";"2013";"11.147.138,63";"20.449.675,40";"16.729.192,93";"48.326.006,96"
"Adolfo";"3500204";"2014";"1.061.654,19";"6.889.424,16";"6.894.756,76";"14.845.835,11"
"Adolfo";"3500204";"2013";"948.907,66";"6.667.986,12";"6.279.702,92";"13.896.596,70"
"Aguaí";"3500303";"2014";"11.205.703,46";"19.445.837,52";"17.792.230,77";"48.443.771,75"
"Aguaí";"3500303";"2013";"9.161.738,56";"19.937.480,08";"16.605.475,50";"45.704.694,14"
"Águas da Prata";"3500402";"2014";"2.885.408,87";"4.964.816,16";"6.650.999,98";"14.501.225,01"
"Águas da Prata";"3500402";"2013";"2.598.601,90";"6.786.926,71";"6.217.663,23";"15.603.191,84"
"Águas de Lindóia";"3500501";"2014";"18.102.023,59";"8.192.034,95";"13.242.330,35";"39.536.388,89"
"Águas de Lindóia";"3500501";"2013";"16.602.956,18";"7.914.458,38";"12.364.735,92";"36.882.150,48"
"Águas de Santa Bárbara";"3500550";"2014";"7.449.272,99";"8.311.532,52";"6.582.023,45";"22.342.828,96"
"Águas de Santa Bárbara";"3500550";"2013";"6.863.734,23";"8.951.437,45";"6.317.500,10";"22.132.671,78"
"Águas de São Pedro";"3500600";"2014";"5.229.476,67";"2.740.940,29";"6.614.271,43";"14.584.688,39"
"Águas de São Pedro";"3500600";"2013";"4.830.350,81";"2.728.697,42";"6.172.947,55";"13.731.995,78"
"Agudos";"3500709";"2014";"7.803.840,16";"78.794.818,38";"18.770.226,56";"105.368.885,10"
"Agudos";"3500709";"2013";"6.974.849,01";"73.726.461,10";"17.283.609,53";"97.984.919,64"
"Alambari";"3500758";"2014";"4.291.475,16";"3.640.561,34";"6.652.097,22";"14.584.133,72"
"Alambari";"3500758";"2013";"2.952.099,11";"3.586.455,42";"6.196.141,28";"12.734.695,81"
"Alfredo Marcondes";"3500808";"2014";"567.828,98";"3.271.928,41";"6.630.535,00";"10.470.292,39"
"Alfredo Marcondes";"3500808";"2013";"512.472,26";"3.200.258,29";"6.186.246,92";"9.898.977,47"
"Altair";"3500907";"2014";"491.220,67";"6.772.261,12";"7.202.335,33";"14.465.817,12"
"Altair";"3500907";"2013";"423.698,39";"7.007.915,66";"6.785.507,46";"14.217.121,51"
"Altinópolis";"3501004";"2014";"4.731.264,41";"16.684.463,59";"11.643.066,11";"33.058.794,11"
"Altinópolis";"3501004";"2013";"4.510.374,68";"17.165.086,02";"10.863.377,44";"32.538.838,14"
"Alto Alegre";"3501103";"2014";"800.594,50";"5.404.495,23";"6.743.662,34";"12.948.752,07"
"Alto Alegre";"3501103";"2013";"741.813,12";"5.232.074,78";"6.268.438,79";"12.242.326,69"
"Alumínio";"3501152";"2014";"8.371.488,61";"10.252.717,51";"13.257.434,57";"31.881.640,69"
"Alumínio";"3501152";"2013";"5.072.128,56";"17.838.925,07";"12.411.911,67";"35.322.965,30"
"Álvares Florence";"3501202";"2014";"853.251,76";"5.335.989,42";"6.802.422,72";"12.991.663,90"
"Álvares Florence";"3501202";"2013";"796.576,88";"5.142.449,97";"6.334.493,57";"12.273.520,42"
"Álvares Machado";"3501301";"2014";"4.901.492,22";"10.953.347,26";"15.523.384,28";"31.378.223,76"
"Álvares Machado";"3501301";"2013";"4.057.548,67";"10.816.224,89";"12.426.683,75";"27.300.457,31"
"Álvaro de Carvalho";"3501400";"2014";"577.851,16";"2.849.070,37";"6.381.287,33";"9.808.208,86"
"Álvaro de Carvalho";"3501400";"2013";"398.726,98";"2.853.929,17";"5.952.391,55";"9.205.047,70"
"Alvinlândia";"3501509";"2014";"368.947,95";"2.318.117,10";"6.662.260,37";"9.349.325,42"
"Alvinlândia";"3501509";"2013";"404.347,17";"2.323.726,41";"6.203.176,74";"8.931.250,32"
"Americana";"3501608";"2014";"147.155.888,72";"202.922.777,12";"55.665.686,26";"405.744.352,10"
"Americana";"3501608";"2013";"144.275.518,51";"203.444.569,24";"52.192.145,86";"399.912.233,61"
"Américo Brasiliense";"3501707";"2014";"6.160.927,96";"18.345.468,10";"17.985.822,23";"42.492.218,29"
"Américo Brasiliense";"3501707";"2013";"6.256.297,36";"19.247.084,12";"16.711.030,86";"42.214.412,34"
"Américo de Campos";"3501806";"2014";"973.240,52";"5.369.588,45";"6.712.773,35";"13.055.602,32"
"Américo de Campos";"3501806";"2013";"1.016.976,94";"5.712.249,07";"6.253.994,93";"12.983.220,94"
"Amparo";"3501905";"2014";"39.666.085,87";"74.952.489,95";"26.815.426,95";"141.434.002,77"
"Amparo";"3501905";"2013";"33.718.130,02";"72.781.710,17";"25.044.523,84";"131.544.364,03"
"Analândia";"3502002";"2014";"2.657.413,10";"8.221.301,23";"6.875.718,04";"17.754.432,37"
"Analândia";"3502002";"2013";"2.310.909,04";"8.461.928,46";"6.278.914,55";"17.051.752,05"
"Andradina";"3502101";"2014";"19.234.447,99";"43.977.981,32";"25.238.560,38";"88.450.989,69"
"Andradina";"3502101";"2013";"19.613.707,98";"42.433.109,53";"23.441.426,83";"85.488.244,34"
"Angatuba";"3502200";"2014";"4.271.021,77";"23.154.262,23";"14.393.652,29";"41.818.936,29"
"Angatuba";"3502200";"2013";"4.019.713,47";"22.662.951,64";"12.939.834,14";"39.622.499,25"
"Anhembi";"3502309";"2014";"2.693.835,89";"9.896.233,43";"6.628.340,80";"19.218.410,12"
"Anhembi";"3502309";"2013";"2.870.382,57";"9.807.129,18";"6.419.738,26";"19.097.250,01"
"Anhumas";"3502408";"2014";"561.723,74";"4.422.156,48";"6.776.311,86";"11.760.192,08"
"Anhumas";"3502408";"2013";"437.918,93";"4.548.329,40";"6.292.048,29";"11.278.296,62"
"Aparecida";"3502507";"2014";"16.744.356,63";"17.137.835,02";"17.683.377,67";"51.565.569,32"
"Aparecida";"3502507";"2013";"16.246.240,11";"16.852.297,24";"16.503.154,30";"49.601.691,65"
"Aparecida d'Oeste";"3502606";"2014";"470.021,31";"3.642.809,71";"6.807.652,29";"10.920.483,31"
"Aparecida d'Oeste";"3502606";"2013";"383.083,01";"3.502.942,98";"6.185.568,30";"10.071.594,29"
"Apiaí";"3502705";"2014";"3.081.009,29";"15.547.527,34";"15.595.527,62";"34.224.064,25"
"Apiaí";"3502705";"2013";"4.968.652,97";"14.916.911,03";"13.942.734,28";"33.828.298,28"
"Araçariguama";"3502754";"2014";"16.216.576,77";"32.589.340,19";"13.377.417,11";"62.183.334,07"
"Araçariguama";"3502754";"2013";"13.688.735,85";"34.560.823,95";"12.501.079,58";"60.750.639,38"
"Araçatuba";"3502804";"2014";"96.796.734,38";"143.776.286,56";"55.909.520,04";"296.482.540,98"
"Araçatuba";"3502804";"2013";"90.976.179,42";"130.754.695,87";"52.697.202,85";"274.428.078,14"
"Araçoiaba da Serra";"3502903";"2014";"16.214.953,60";"14.396.564,46";"15.548.172,97";"46.159.691,03"
"Araçoiaba da Serra";"3502903";"2013";"15.516.936,07";"11.939.675,73";"14.510.990,39";"41.967.602,19"
"Aramina";"3503000";"2014";"2.908.104,67";"5.457.134,33";"6.710.933,50";"15.076.172,50"
"Aramina";"3503000";"2013";"2.548.546,54";"5.992.870,46";"6.265.618,39";"14.807.035,39"
"Arandu";"3503109";"2014";"2.432.372,65";"6.550.584,37";"6.447.812,02";"15.430.769,04"
"Arandu";"3503109";"2013";"1.920.864,26";"6.626.093,47";"6.262.965,06";"14.809.922,79"
"Arapeí";"3503158";"2014";"309.753,68";"2.126.722,34";"6.619.512,85";"9.055.988,87"
"Arapeí";"3503158";"2013";"371.180,74";"2.145.547,56";"6.178.457,41";"8.695.185,71"
"Araraquara";"3503208";"2014";"131.382.756,90";"176.282.088,53";"58.607.580,86";"366.272.426,29"
"Araraquara";"3503208";"2013";"121.527.237,32";"171.486.147,98";"54.471.479,42";"347.484.864,72"
"Araras";"3503307";"2014";"73.644.293,85";"100.873.957,89";"39.555.357,47";"214.073.609,21"
"Araras";"3503307";"2013";"62.954.980,29";"101.411.923,79";"37.439.941,14";"201.806.845,22"
"Arco-Íris";"3503356";"2014";"181.645,05";"3.617.685,91";"6.689.619,02";"10.488.949,98"
"Arco-Íris";"3503356";"2013";"149.334,47";"3.558.698,47";"6.235.465,70";"9.943.498,64"
"Arealva";"3503406";"2014";"1.876.429,47";"7.771.719,34";"6.799.525,58";"16.447.674,39"
"Arealva";"3503406";"2013";"2.628.235,60";"7.624.765,33";"6.336.748,90";"16.589.749,83"
"Areias";"3503505";"2014";"366.684,50";"3.023.315,46";"6.636.557,18";"10.026.557,14"
"Areias";"3503505";"2013";"382.784,49";"3.051.315,94";"6.187.828,65";"9.621.929,08"
"Areiópolis";"3503604";"2014";"1.390.592,07";"5.077.383,61";"8.590.331,40";"15.058.307,08"
"Areiópolis";"3503604";"2013";"1.288.589,80";"4.837.973,96";"7.925.726,34";"14.052.290,10"
"Ariranha";"3503703";"2014";"1.765.885,49";"20.630.409,98";"6.808.943,86";"29.205.239,33"
"Ariranha";"3503703";"2013";"2.388.414,53";"26.263.274,68";"6.408.757,77";"35.060.446,98"
"Artur Nogueira";"3503802";"2014";"15.601.855,80";"25.174.557,79";"22.149.519,64";"62.925.933,23"
"Artur Nogueira";"3503802";"2013";"15.410.811,27";"23.280.730,76";"20.701.110,02";"59.392.652,05"
"Arujá";"3503901";"2014";"63.475.228,66";"70.595.800,11";"28.926.214,78";"162.997.243,55"
"Arujá";"3503901";"2013";"55.350.240,95";"70.377.084,67";"27.019.761,25";"152.747.086,87"
"Aspásia";"3503950";"2014";"153.368,81";"2.022.590,43";"6.624.521,32";"8.800.480,56"
"Aspásia";"3503950";"2013";"206.159,56";"2.013.115,69";"6.182.942,68";"8.402.217,93"
"Assis";"3504008";"2014";"45.936.049,72";"52.928.501,42";"33.418.232,10";"132.282.783,24"
"Assis";"3504008";"2013";"39.524.079,14";"50.125.366,06";"31.136.612,31";"120.786.057,51"
"Atibaia";"3504107";"2014";"134.996.102,43";"109.318.831,87";"40.125.394,34";"284.440.328,64"
"Atibaia";"3504107";"2013";"106.183.552,86";"104.913.272,26";"35.397.402,88";"246.494.228,00"
"Auriflama";"3504206";"2014";"3.517.406,63";"10.312.588,11";"11.254.337,21";"25.084.331,95"
"Auriflama";"3504206";"2013";"2.837.114,08";"10.157.550,17";"10.469.096,06";"23.463.760,31"
"Avaí";"3504305";"2014";"1.320.710,20";"7.050.666,49";"7.156.409,93";"15.527.786,62"
"Avaí";"3504305";"2013";"1.400.536,59";"6.757.910,42";"6.497.285,15";"14.655.732,16"
"Avanhandava";"3504404";"2014";"1.906.224,90";"8.552.262,60";"8.991.529,43";"19.450.016,93"
"Avanhandava";"3504404";"2013";"1.623.153,76";"8.811.580,99";"8.385.049,74";"18.819.784,49"
"Avaré";"3504503";"2014";"44.087.693,10";"54.427.013,45";"31.856.986,05";"130.371.692,60"
"Avaré";"3504503";"2013";"34.235.440,97";"52.926.813,91";"29.364.529,01";"116.526.783,89"
"Bady Bassitt";"3504602";"2014";"6.200.930,17";"9.564.926,40";"11.124.611,10";"26.890.467,67"
"Bady Bassitt";"3504602";"2013";"4.848.570,98";"9.311.591,48";"10.348.385,80";"24.508.548,26"
"Balbinos";"3504701";"2014";"284.404,74";"2.623.100,95";"6.654.150,51";"9.561.656,20"
"Balbinos";"3504701";"2013";"420.210,39";"2.669.198,08";"6.208.255,31";"9.297.663,78"
"Bálsamo";"3504800";"2014";"1.552.457,28";"6.406.228,40";"6.720.434,14";"14.679.119,82"
"Bálsamo";"3504800";"2013";"1.334.257,42";"6.148.546,94";"6.224.977,93";"13.707.782,29"
"Bananal";"3504909";"2014";"3.384.391,95";"5.258.918,50";"8.862.657,05";"17.505.967,50"
"Bananal";"3504909";"2013";"1.769.682,14";"5.267.817,83";"8.291.056,76";"15.328.556,73"
"Barão de Antonina";"3505005";"2014";"390.088,58";"4.024.781,36";"6.769.036,20";"11.183.906,14"
"Barão de Antonina";"3505005";"2013";"336.900,27";"3.434.440,58";"6.329.753,69";"10.101.094,54"
"Barbosa";"3505104";"2014";"1.031.202,01";"5.184.318,07";"6.736.141,44";"12.951.661,52"
"Barbosa";"3505104";"2013";"797.378,48";"5.107.574,77";"6.276.235,90";"12.181.189,15"
"Bariri";"3505203";"2014";"10.510.296,48";"25.612.328,34";"18.029.947,39";"54.152.572,21"
"Bariri";"3505203";"2013";"8.273.029,47";"25.237.055,05";"16.645.971,26";"50.156.055,78"
"Barra Bonita";"3505302";"2014";"12.138.786,55";"29.574.700,36";"17.028.081,89";"58.741.568,80"
"Barra Bonita";"3505302";"2013";"12.505.358,91";"35.677.625,76";"16.789.734,23";"64.972.718,90"
"Barra do Chapéu";"3505351";"2014";"419.882,23";"2.934.322,04";"6.638.996,43";"9.993.200,70"
"Barra do Chapéu";"3505351";"2013";"222.585,66";"2.795.372,73";"6.184.632,59";"9.202.590,98"
"Barra do Turvo";"3505401";"2014";"3.103.100,03";"9.664.417,66";"6.664.244,33";"19.431.762,02"
"Barra do Turvo";"3505401";"2013";"3.005.328,50";"9.755.536,41";"6.221.615,33";"18.982.480,24"
"Barretos";"3505500";"2014";"72.484.846,77";"81.885.079,84";"41.255.120,65";"195.625.047,26"
"Barretos";"3505500";"2013";"63.703.396,48";"79.901.147,80";"35.478.521,20";"179.083.065,48"
"Barrinha";"3505609";"2014";"4.387.353,66";"11.652.056,12";"15.903.837,69";"31.943.247,47"
"Barrinha";"3505609";"2013";"3.709.282,14";"11.103.086,19";"15.053.456,16";"29.865.824,49"
"Barueri";"3505708";"2014";"898.872.619,54";"738.777.823,43";"55.359.795,48";"1.693.010.238,45"
"Barueri";"3505708";"2013";"842.296.033,24";"733.110.190,25";"54.698.497,62";"1.630.104.721,11"
"Bastos";"3505807";"2014";"3.192.917,56";"19.060.726,21";"13.325.966,65";"35.579.610,42"
"Bastos";"3505807";"2013";"2.946.519,35";"18.142.555,07";"12.431.006,56";"33.520.080,98"
"Batatais";"3505906";"2014";"18.481.566,01";"44.778.921,59";"25.067.419,32";"88.327.906,92"
"Batatais";"3505906";"2013";"17.741.753,81";"46.858.465,32";"23.345.308,14";"87.945.527,27"
"Bauru";"3506003";"2014";"226.797.295,19";"236.139.935,08";"56.095.738,87";"519.032.969,14"
"Bauru";"3506003";"2013";"204.297.223,09";"234.896.832,14";"52.553.465,77";"491.747.521,00"
"Bebedouro";"3506102";"2014";"28.500.577,74";"51.320.658,96";"29.841.967,97";"109.663.204,67"
"Bebedouro";"3506102";"2013";"28.873.925,02";"48.655.317,47";"27.571.557,90";"105.100.800,39"
"Bento de Abreu";"3506201";"2014";"1.157.101,39";"6.028.485,46";"6.824.198,45";"14.009.785,30"
"Bento de Abreu";"3506201";"2013";"1.516.065,93";"6.411.747,16";"6.542.419,52";"14.470.232,61"
"Bernardino de Campos";"3506300";"2014";"2.330.225,02";"7.437.749,52";"9.019.531,43";"18.787.505,97"
"Bernardino de Campos";"3506300";"2013";"2.232.558,96";"7.136.812,42";"8.377.178,90";"17.746.550,28"
"Bertioga";"3506359";"2014";"127.820.292,43";"27.083.176,99";"24.088.897,85";"178.992.367,27"
"Bertioga";"3506359";"2013";"115.413.106,50";"27.124.084,35";"20.930.190,78";"163.467.381,63"
"Bilac";"3506409";"2014";"2.832.294,20";"5.239.534,31";"6.782.853,18";"14.854.681,69"
"Bilac";"3506409";"2013";"1.702.637,26";"5.234.204,09";"6.337.054,12";"13.273.895,47"
"Birigui";"3506508";"2014";"45.844.100,86";"69.320.476,06";"37.967.995,67";"153.132.572,59"
"Birigui";"3506508";"2013";"43.022.427,05";"67.300.348,38";"33.366.497,49";"143.689.272,92"
"Biritiba-Mirim";"3506607";"2014";"3.376.647,67";"10.231.500,60";"15.614.640,72";"29.222.788,99"
"Biritiba-Mirim";"3506607";"2013";"3.667.648,52";"9.049.894,84";"14.035.721,70";"26.753.265,06"
"Boa Esperança do Sul";"3506706";"2014";"2.627.518,55";"12.300.299,67";"12.526.342,26";"27.454.160,48"
"Boa Esperança do Sul";"3506706";"2013";"2.319.409,95";"12.741.177,19";"11.581.582,18";"26.642.169,32"
"Bocaina";"3506805";"2014";"3.229.564,54";"12.420.000,83";"9.197.617,55";"24.847.182,92"
"Bocaina";"3506805";"2013";"4.002.586,00";"11.772.076,14";"8.515.069,80";"24.289.731,94"
"Bofete";"3506904";"2014";"4.418.710,97";"8.203.800,31";"9.409.928,74";"22.032.440,02"
"Bofete";"3506904";"2013";"4.016.612,81";"8.923.011,34";"6.557.079,76";"19.496.703,91"
"Boituva";"3507001";"2014";"30.524.901,06";"68.326.746,38";"24.642.418,98";"123.494.066,42"
"Boituva";"3507001";"2013";"25.849.967,11";"54.437.562,22";"20.628.763,44";"100.916.292,77"
"Bom Jesus dos Perdões";"3507100";"2014";"11.436.899,14";"12.846.561,10";"13.280.345,22";"37.563.805,46"
"Bom Jesus dos Perdões";"3507100";"2013";"9.564.114,77";"11.951.093,98";"12.431.743,68";"33.946.952,43"
"Bom Sucesso de Itararé";"3507159";"2014";"399.679,17";"2.600.307,50";"6.631.575,95";"9.631.562,62"
"Bom Sucesso de Itararé";"3507159";"2013";"431.446,69";"2.758.185,31";"6.193.503,93";"9.383.135,93"
"Borá";"3507209";"2014";"254.106,90";"2.535.325,94";"6.383.420,71";"9.172.853,55"
"Borá";"3507209";"2013";"194.629,86";"2.358.516,07";"6.186.788,98";"8.739.934,91"
"Boracéia";"3507308";"2014";"1.274.006,29";"8.195.549,02";"6.703.175,23";"16.172.730,54"
"Boracéia";"3507308";"2013";"847.234,97";"8.913.078,53";"6.251.947,63";"16.012.261,13"
"Borborema";"3507407";"2014";"5.543.736,15";"15.699.834,71";"11.436.142,23";"32.679.713,09"
"Borborema";"3507407";"2013";"4.140.807,59";"14.830.546,29";"10.584.654,74";"29.556.008,62"
"Borebi";"3507456";"2014";"628.066,30";"4.878.138,46";"6.802.657,77";"12.308.862,53"
"Borebi";"3507456";"2013";"474.204,73";"4.695.832,81";"6.330.657,66";"11.500.695,20"
"Botucatu";"3507506";"2014";"56.108.721,52";"107.875.546,69";"40.994.759,85";"204.979.028,06"
"Botucatu";"3507506";"2013";"51.409.703,84";"105.293.310,67";"38.076.643,41";"194.779.657,92"
"Bragança Paulista";"3507605";"2014";"109.628.599,85";"111.068.930,83";"55.507.778,91";"276.205.309,59"
"Bragança Paulista";"3507605";"2013";"96.888.712,50";"106.528.031,84";"50.117.201,40";"253.533.945,74"
"Braúna";"3507704";"2014";"766.264,68";"3.901.050,15";"6.748.911,15";"11.416.225,98"
"Braúna";"3507704";"2013";"719.436,71";"3.894.419,88";"6.273.545,31";"10.887.401,90"
"Brejo Alegre";"3507753";"2014";"1.159.265,44";"5.819.253,34";"6.664.384,16";"13.642.902,94"
"Brejo Alegre";"3507753";"2013";"1.222.271,50";"6.806.386,59";"6.209.765,13";"14.238.423,22"
"Brodowski";"3507803";"2014";"6.980.037,57";"13.726.560,35";"13.601.372,82";"34.307.970,74"
"Brodowski";"3507803";"2013";"6.474.307,42";"12.859.044,68";"12.747.477,20";"32.080.829,30"
"Brotas";"3507902";"2014";"16.385.425,46";"23.245.331,17";"13.822.992,46";"53.453.749,09"
"Brotas";"3507902";"2013";"13.122.894,48";"23.443.644,88";"12.710.577,64";"49.277.117,00"
"Buri";"3508009";"2014";"3.226.015,70";"15.769.468,53";"13.763.501,13";"32.758.985,36"
"Buri";"3508009";"2013";"2.347.863,41";"15.215.443,59";"12.730.439,45";"30.293.746,45"
"Buritama";"3508108";"2014";"4.658.489,29";"16.155.372,15";"11.302.777,31";"32.116.638,75"
"Buritama";"3508108";"2013";"4.074.993,88";"15.505.206,78";"10.520.740,00";"30.100.940,66"
"Buritizal";"3508207";"2014";"1.534.489,51";"8.594.834,55";"6.781.052,81";"16.910.376,87"
"Buritizal";"3508207";"2013";"1.931.368,43";"10.240.349,42";"6.345.894,24";"18.517.612,09"
"Cabrália Paulista";"3508306";"2014";"1.470.172,79";"4.106.763,92";"6.720.782,38";"12.297.719,09"
"Cabrália Paulista";"3508306";"2013";"1.034.301,35";"4.114.017,07";"5.980.589,85";"11.128.908,27"
"Cabreúva";"3508405";"2014";"24.837.405,52";"84.378.394,43";"22.441.419,70";"131.657.219,65"
"Cabreúva";"3508405";"2013";"22.900.055,77";"59.241.218,72";"18.808.697,50";"100.949.971,99"
"Caçapava";"3508504";"2014";"35.578.160,77";"86.107.981,97";"31.234.658,74";"152.920.801,48"
"Caçapava";"3508504";"2013";"35.066.523,61";"87.707.439,43";"29.197.086,71";"151.971.049,75"
"Cachoeira Paulista";"3508603";"2014";"9.332.671,00";"12.303.189,06";"18.392.091,67";"40.027.951,73"
"Cachoeira Paulista";"3508603";"2013";"9.216.178,80";"11.936.253,50";"13.868.472,15";"35.020.904,45"
"Caconde";"3508702";"2014";"2.978.382,76";"11.187.776,85";"13.562.830,23";"27.728.989,84"
"Caconde";"3508702";"2013";"3.276.097,16";"11.214.612,61";"12.658.741,35";"27.149.451,12"
"Cafelândia";"3508801";"2014";"3.799.151,87";"15.515.718,88";"13.883.339,82";"33.198.210,57"
"Cafelândia";"3508801";"2013";"3.048.490,17";"15.699.030,97";"10.861.788,88";"29.609.310,02"
"Caiabu";"3508900";"2014";"369.191,93";"3.715.730,26";"6.753.506,27";"10.838.428,46"
"Caiabu";"3508900";"2013";"384.038,49";"3.641.610,34";"6.331.210,56";"10.356.859,39"
"Caieiras";"3509007";"2014";"53.695.834,84";"59.566.815,77";"33.338.200,13";"146.600.850,74"
"Caieiras";"3509007";"2013";"52.466.535,39";"57.044.144,35";"28.990.774,57";"138.501.454,31"
"Caiuá";"3509106";"2014";"1.958.891,94";"6.158.497,22";"6.824.908,86";"14.942.298,02"
"Caiuá";"3509106";"2013";"1.188.107,89";"6.697.014,45";"6.348.827,30";"14.233.949,64"
"Cajamar";"3509205";"2014";"107.363.037,98";"157.318.804,52";"27.210.091,95";"291.891.934,45"
"Cajamar";"3509205";"2013";"90.623.500,56";"165.190.741,40";"25.447.643,89";"281.261.885,85"
"Cajati";"3509254";"2014";"12.983.142,21";"28.556.067,65";"15.566.763,22";"57.105.973,08"
"Cajati";"3509254";"2013";"13.360.031,23";"26.858.739,59";"14.521.271,28";"54.740.042,10"
"Cajobi";"3509304";"2014";"1.055.695,79";"6.129.118,92";"9.073.634,61";"16.258.449,32"
"Cajobi";"3509304";"2013";"1.023.063,05";"6.533.723,10";"6.360.121,07";"13.916.907,22"
"Cajuru";"3509403";"2014";"3.956.790,76";"16.468.274,99";"15.791.884,07";"36.216.949,82"
"Cajuru";"3509403";"2013";"3.614.107,53";"16.091.227,22";"12.696.472,19";"32.401.806,94"
"Campina do Monte Alegre";"3509452";"2014";"1.449.734,93";"3.602.067,29";"6.797.141,43";"11.848.943,65"
"Campina do Monte Alegre";"3509452";"2013";"871.922,24";"3.525.626,96";"6.285.958,04";"10.683.507,24"
"Campinas";"3509502";"2014";"1.562.135.273,77";"1.088.324.208,80";"63.071.756,29";"2.713.531.238,86"
"Campinas";"3509502";"2013";"1.383.577.133,61";"1.072.402.372,02";"59.579.869,49";"2.515.559.375,12"
"Campo Limpo Paulista";"3509601";"2014";"31.830.589,41";"48.694.827,39";"28.847.719,10";"109.373.135,90"
"Campo Limpo Paulista";"3509601";"2013";"26.588.663,50";"47.958.134,68";"26.931.202,89";"101.478.001,07"
