"Município";"id_orgao";"Órgão";"Categoria da Receita";"Origem da Receita";"2012";"2013";"2014"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Receita Patrimonial";"891.224,77";"369.319,34";"438.866,32"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Receita de Serviços";"400,00";"";""
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Receita de Contribuições";"47.104,95";"6.387,37";"8.845,19"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Outras Receitas Correntes";"3.464.736,12";"3.432.188,80";"4.356.329,12"
"Águas de Lindóia";"";"Saae Saneamento Ambiental De Águas De Lindóia";"Receitas Correntes";"Receita Tributária";"287,47";"";""
"Águas de Lindóia";"";"Sabf Serv.Autônomo Balneoterapia E Fisioterapia";"Receitas Correntes";"Outras Receitas Correntes";"8.113,15";"6.098,17";"10.634,86"
"Águas de Lindóia";"";"Sabf Serv.Autônomo Balneoterapia E Fisioterapia";"Receitas Correntes";"Receita de Serviços";"385.651,20";"440.775,80";"617.759,73"
"Águas de Lindóia";"";"Sabf Serv.Autônomo Balneoterapia E Fisioterapia";"Receitas Correntes";"Receita Patrimonial";"31.980,08";"29.435,15";"22.495,95"
"Águas de Santa Bárbara";"";"Prefeitura Municipal De Águas De Santa Bárbara";"Receitas Correntes";"Transferências Correntes";"13.867.290,36";"16.829.953,74";"18.002.615,30"
"Águas de Santa Bárbara";"";"Prefeitura Municipal De Águas De Santa Bárbara";"Receitas Correntes";"Outras Receitas Correntes";"784.435,39";"1.037.399,46";"1.768.741,55"
"Águas de Santa Bárbara";"";"Prefeitura Municipal De Águas De Santa Bárbara";"Receitas de Capital";"Transferências de Capital";"2.788.825,48";"245.809,34";"1.216.155,00"
"Águas de Santa Bárbara";"";"Prefeitura Municipal De Águas De Santa Bárbara";"Receitas Correntes";"Receita Patrimonial";"326.849,23";"264.551,31";"481.862,25"
"Águas de Santa Bárbara";"";"Prefeitura Municipal De Águas De Santa Bárbara";"Receitas Correntes";"Receita Tributária";"5.444.952,26";"5.920.026,83";"6.657.117,85"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas de Capital";"Alienação de Bens";"13.993,52";"";""
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas de Capital";"Transferências de Capital";"3.597.097,98";"1.969.316,34";"3.144.901,60"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Outras Receitas Correntes";"902.916,79";"837.442,98";"775.660,22"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Receita de Contribuições";"488.747,22";"438.789,91";"780.417,78"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Receita de Serviços";"877.055,71";"256.161,91";"439.840,17"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Receita Patrimonial";"254.077,32";"333.070,68";"512.443,06"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Receita Tributária";"4.222.159,13";"4.356.721,79";"4.861.208,55"
"Águas de São Pedro";"";"Prefeitura Municipal De Águas De São Pedro";"Receitas Correntes";"Transferências Correntes";"10.007.047,99";"11.087.911,23";"11.384.743,56"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas de Capital";"Transferências de Capital";"1.460.626,97";"1.741.489,21";"2.308.038,81"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Receita Tributária";"6.483.352,54";"6.575.046,05";"7.491.498,92"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Receita Patrimonial";"234.965,71";"327.411,52";"858.740,10"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Receita de Serviços";"31.760,84";"29.008,87";"28.564,84"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Receita de Contribuições";"827.156,85";"778.571,60";"833.283,50"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Outras Receitas Correntes";"728.021,31";"1.113.307,05";"1.079.889,61"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas Correntes";"Transferências Correntes";"77.989.737,39";"97.045.990,57";"104.994.824,59"
"Agudos";"";"Prefeitura Municipal De Agudos";"Receitas de Capital";"Alienação de Bens";"";"";"52.601,00"
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas Correntes";"Receita Patrimonial";"37.814,31";"89.326,48";"397.237,70"
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas Correntes";"Receita de Contribuições";"27.940,70";"29.726,05";""
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas Correntes";"Outras Receitas Correntes";"91.003,41";"127.646,23";"124.883,81"
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas de Capital";"Transferências de Capital";"707.799,03";"374.717,12";"2.275.350,21"
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas Correntes";"Transferências Correntes";"10.751.259,61";"12.230.684,74";"13.220.389,85"
"Alambari";"";"Prefeitura Municipal De Alambari";"Receitas Correntes";"Receita Tributária";"1.467.700,93";"3.108.540,71";"4.479.890,59"
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas Correntes";"Receita Tributária";"411.266,64";"559.883,28";"589.278,52"
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas Correntes";"Transferências Correntes";"8.348.096,85";"9.356.109,68";"10.085.495,44"
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas de Capital";"Alienação de Bens";"27.000,00";"78.000,00";""
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas de Capital";"Transferências de Capital";"1.813.752,92";"425.785,00";"1.180.442,69"
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas Correntes";"Outras Receitas Correntes";"71.230,23";"107.942,57";"254.842,36"
"Alfredo Marcondes";"";"Prefeitura Municipal De Alfredo Marcondes";"Receitas Correntes";"Receita Patrimonial";"49.449,70";"52.860,32";"112.867,67"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas de Capital";"Alienação de Bens";"125.910,00";"71.150,00";"10.300,00"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas de Capital";"Transferências de Capital";"";"102.728,76";"791.326,69"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas de Capital";"Outras Receitas de Capital";"860.695,00";"114.000,00";"200.475,00"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Receita Patrimonial";"13.073,34";"22.419,31";"50.450,01"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Receita Tributária";"499.906,05";"440.531,54";"472.461,85"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Transferências Correntes";"12.176.807,05";"14.156.440,37";"14.605.337,48"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Receita de Serviços";"2.562,87";"9.866,30";"5.640,80"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Receita de Contribuições";"41.262,29";"45.223,83";"20.931,30"
"Altair";"";"Prefeitura Municipal De Altair/Sp";"Receitas Correntes";"Outras Receitas Correntes";"259.258,90";"62.196,99";"100.006,34"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Receita de Serviços";"781.201,14";"717.852,91";"757.023,41"
"Altinópolis";"";"Instituto De Previdencia Municipal De Altinópolis";"Receitas Correntes";"Outras Receitas Correntes";"1.244,20";"148.729,95";"147.475,21"
"Altinópolis";"";"Instituto De Previdencia Municipal De Altinópolis";"Receitas Correntes";"Receita de Contribuições";"1.982.276,84";"2.844.114,71";"2.823.327,40"
"Altinópolis";"";"Instituto De Previdencia Municipal De Altinópolis";"Receitas Correntes";"Receita Patrimonial";"5.323.204,60";"-892.052,42";"4.128.623,89"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Outras Receitas Correntes";"790.016,66";"1.313.643,47";"888.743,06"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Receita de Contribuições";"252.106,44";"369.206,29";"344.274,12"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas de Capital";"Transferências de Capital";"5.198.818,25";"12.099.370,85";"9.408.653,16"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas de Capital";"Alienação de Bens";"110.600,00";"140.663,00";""
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Transferências Correntes";"33.264.822,32";"37.197.916,76";"43.815.599,56"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Receita Tributária";"3.376.649,55";"4.572.968,84";"4.816.376,47"
"Altinópolis";"";"Prefeitura Municipal De Altinópolis";"Receitas Correntes";"Receita Patrimonial";"97.118,93";"195.642,63";"468.552,82"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas de Capital";"Transferências de Capital";"847.169,48";"780.285,79";"1.941.592,32"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Transferências Correntes";"10.872.320,40";"12.061.929,83";"12.828.963,87"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Outras Receitas Correntes";"632.510,86";"169.610,80";"236.911,67"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Receita Tributária";"860.532,70";"767.054,15";"808.721,22"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Receita Patrimonial";"55.180,50";"52.016,94";"161.595,34"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Receita de Serviços";"84.030,15";"90.203,48";"92.860,59"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas Correntes";"Receita de Contribuições";"";"";"6.335,17"
"Alto Alegre";"";"Prefeitura Municipal De Alto Alegre";"Receitas de Capital";"Alienação de Bens";"60.500,00";"";"132.360,00"
"Alumínio";"";"Prefeitura Municipal De Alumínio";"Receitas Correntes";"Receita Tributária";"4.609.859,73";"5.205.753,96";"9.005.564,75"
"Alumínio";"";"Prefeitura Municipal De Alumínio";"Receitas Correntes";"Receita Patrimonial";"177.713,82";"209.715,39";"186.846,09"
"Alumínio";"";"Prefeitura Municipal De Alumínio";"Receitas Correntes";"Receita de Serviços";"32.806,17";"32.824,18";"30.870,80"
"Alumínio";"";"Prefeitura Municipal De Alumínio";"Receitas Correntes";"Outras Receitas Correntes";"7.361.406,88";"3.883.825,73";"2.204.761,95"
"Alumínio";"";"Prefeitura Municipal De Alumínio";"Receitas Correntes";"Transferências Correntes";"41.818.304,21";"39.848.925,67";"36.397.177,90"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas Correntes";"Transferências Correntes";"10.836.569,02";"12.910.546,33";"13.314.932,22"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas Correntes";"Outras Receitas Correntes";"141.435,99";"160.623,93";"105.379,26"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas Correntes";"Receita de Serviços";"1.470,00";"730,00";"14.244,50"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas Correntes";"Receita Patrimonial";"69.245,27";"64.982,86";"109.045,78"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas Correntes";"Receita Tributária";"749.689,15";"794.030,89";"880.187,25"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas de Capital";"Alienação de Bens";"";"";"174.066,40"
"Álvares Florence";"";"Prefeitura Municipal De Álvares Florence";"Receitas de Capital";"Transferências de Capital";"1.405.840,42";"907.221,95";"998.496,49"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas Correntes";"Receita Tributária";"4.354.044,14";"4.549.146,65";"5.656.962,36"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas Correntes";"Receita Patrimonial";"483.581,71";"265.548,74";"575.671,12"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas Correntes";"Receita de Serviços";"20.300,60";"15.968,20";"26.711,95"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas Correntes";"Outras Receitas Correntes";"1.108.187,14";"1.097.107,62";"817.449,39"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas de Capital";"Transferências de Capital";"1.882.637,64";"1.774.951,98";"2.846.904,65"
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas de Capital";"Alienação de Bens";"56.200,00";"127.637,35";""
"Álvares Machado";"";"Prefeitura Municipal De Álvares Machado";"Receitas Correntes";"Transferências Correntes";"33.611.357,52";"37.560.532,11";"41.235.682,72"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas Correntes";"Receita Patrimonial";"18.434,31";"41.245,03";"120.288,59"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas Correntes";"Transferências Correntes";"9.114.042,68";"11.140.987,63";"10.898.474,06"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas de Capital";"Alienação de Bens";"";"215.803,25";"20.546,30"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas de Capital";"Transferências de Capital";"938.049,34";"1.355.087,16";"405.783,07"
"Álvaro de Carvalho";"";"Fundo De Aposentadoria E Pensões - Fapen";"Receitas Correntes";"Outras Receitas Correntes";"13.725,32";"125,47";"603,90"
"Álvaro de Carvalho";"";"Fundo De Aposentadoria E Pensões - Fapen";"Receitas Correntes";"Receita de Contribuições";"316.545,71";"966.163,41";"783.254,16"
"Álvaro de Carvalho";"";"Fundo De Aposentadoria E Pensões - Fapen";"Receitas Correntes";"Receita Patrimonial";"14.357,57";"9.087,72";"42.844,79"
"Álvaro de Carvalho";"";"Fundo De Aposentadoria E Pensões - Fapen";"Receitas Correntes";"Receita Tributária";"";"";"75,00"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas Correntes";"Outras Receitas Correntes";"180.578,55";"69.446,10";"76.827,50"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas Correntes";"Receita de Serviços";"2.056,35";"3.326,40";"1.799,60"
"Álvaro de Carvalho";"";"Prefeitura Municipal De Álvaro De Carvalho";"Receitas Correntes";"Receita Tributária";"276.182,57";"404.023,40";"576.249,11"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Outras Receitas Correntes";"221.395,14";"218.960,05";"219.303,75"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas de Capital";"Transferências de Capital";"978.794,01";"818.027,22";"552.261,19"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas de Capital";"Alienação de Bens";"45.050,00";"12.750,00";""
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Transferências Correntes";"8.850.746,62";"9.818.153,69";"10.527.227,06"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Receita Tributária";"403.931,97";"403.203,33";"377.999,38"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Receita Patrimonial";"55.586,60";"37.629,13";"89.137,02"
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Receita de Serviços";"3.215,89";"2.460,55";""
"Alvinlândia";"";"Prefeitura Municipal De Alvinlândia";"Receitas Correntes";"Receita de Contribuições";"3.665,41";"4.288,16";"4.218,66"
"Americana";"";"Instituto De Previdência Social Dos Servidores Municipais De Americana";"Receitas Correntes";"Outras Receitas Correntes";"8.988,14";"26.321,80";"45.887,45"
"Americana";"";"Instituto De Previdência Social Dos Servidores Municipais De Americana";"Receitas Correntes";"Receita de Contribuições";"4.795.265,55";"2.413.525,99";"2.827.131,48"
"Americana";"";"Instituto De Previdência Social Dos Servidores Municipais De Americana";"Receitas Correntes";"Receita Patrimonial";"2.148.486,35";"44.241,99";"103.358,61"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Outras Receitas Correntes";"64.386.349,82";"112.687.808,27";"37.916.764,59"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Receita de Contribuições";"5.634.873,27";"5.279.384,94";"5.839.834,89"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Receita de Serviços";"624.501,85";"647.941,31";"717.765,75"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Receita Patrimonial";"3.434.073,66";"1.806.444,10";"2.125.684,53"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Receita Tributária";"121.474.832,42";"141.344.500,78";"142.762.496,43"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas Correntes";"Transferências Correntes";"278.743.011,37";"307.111.554,43";"319.586.747,82"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas de Capital";"Alienação de Bens";"19.618.206,73";"21.022.745,94";"15.771.510,68"
"Americana";"";"Prefeitura Municipal De Americana";"Receitas de Capital";"Amortização de Empréstimos";"1.516,22";"";""
"Americana";"";"Prefeitura Municipal De Americana";"Receitas de Capital";"Transferências de Capital";"10.032.440,42";"7.862.463,11";"11.298.354,20"
"Americana";"";"Guarda Municipal De Americana";"Receitas Correntes";"Receita Tributária";"188.902,70";"201.346,90";"204.513,40"
"Americana";"";"Guarda Municipal De Americana";"Receitas Correntes";"Receita Patrimonial";"5.208,10";"37.203,38";"13.978,11"
"Americana";"";"Guarda Municipal De Americana";"Receitas Correntes";"Outras Receitas Correntes";"208.948,39";"1.310.223,09";"128.932,73"
"Americana";"";"Fundação De Saúde Do Município De Americana";"Receitas Correntes";"Receita Patrimonial";"14.768,47";"12.933,21";"15.418,81"
"Americana";"";"Fundação De Saúde Do Município De Americana";"Receitas Correntes";"Outras Receitas Correntes";"115.877,84";"161.101,04";"136.220,19"
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas de Capital";"Operações de Crédito";"3.000.000,00";"16.000.000,00";""
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas de Capital";"Alienação de Bens";"1.140,96";"135.569,57";"11.844,00"
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas Correntes";"Receita Tributária";"39.159,24";"62.822,85";"102.712,88"
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas Correntes";"Receita Patrimonial";"17.211,37";"9.055,21";"20.425,65"
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas Correntes";"Receita de Serviços";"58.404.371,24";"58.786.711,23";"58.957.566,89"
"Americana";"";"Departamento De Água E Esgoto De Americana";"Receitas Correntes";"Outras Receitas Correntes";"8.264.370,82";"6.969.281,96";"9.024.248,59"
"Americana";"";"Câmara Municipal De Americana";"Receitas Correntes";"Receita Patrimonial";"25.561,99";"15.449,82";"16.456,14"
"Americana";"";"Câmara Municipal De Americana";"Receitas Correntes";"Outras Receitas Correntes";"4.497,73";"1.829,20";"7.521,36"
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas Correntes";"Receita de Serviços";"3.230.241,60";"3.204.072,75";"3.613.249,66"
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas Correntes";"Outras Receitas Correntes";"1.372.261,55";"5.878.978,19";"3.729.102,82"
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas de Capital";"Transferências de Capital";"5.709.656,13";"1.410.980,51";"3.533.194,38"
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas de Capital";"Outras Receitas de Capital";"30.000,00";"";""
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas de Capital";"Alienação de Bens";"30.170,00";"99.762,27";""
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas Correntes";"Transferências Correntes";"49.388.949,20";"55.780.431,02";"57.657.647,08"
"Américo Brasiliense";"";"Prefeitura Municipal De Américo Brasiliense";"Receitas Correntes";"Receita Tributária";"6.169.591,33";"6.864.542,14";"7.564.435,30"
